1 《肖申克的救赎》 (1994)  9.7分  评价数:2220008  短评:希望让人自由。
2 《霸王别姬》 (1993)  9.6分  评价数:1647440  短评:风华绝代。
3 《阿甘正传》 (1994)  9.5分  评价数:1672815  短评:一部美国近现代史。
4 《这个杀手不太冷》 (1994)  9.4分  评价数:1857421  短评:怪蜀黍和小萝莉不得不说的故事。
5 《泰坦尼克号》 (1997)  9.4分  评价数:1630365  短评:失去的才是永恒的。 
6 《美丽人生》 (1997)  9.5分  评价数:1035078  短评:最美的谎言。
7 《千与千寻》 (2001)  9.4分  评价数:1745466  短评:最好的宫崎骏，最好的久石让。 
8 《辛德勒的名单》 (1993)  9.5分  评价数:853609  短评:拯救一个人，就是拯救整个世界。
9 《盗梦空间》 (2010)  9.3分  评价数:1624842  短评:诺兰给了我们一场无法盗取的梦。
10 《忠犬八公的故事》 (2009)  9.4分  评价数:1110580  短评:永远都不能忘记你所爱的人。
11 《星际穿越》 (2014)  9.3分  评价数:1296515  短评:爱是一种力量，让我们超越时空感知它的存在。
12 《海上钢琴师》 (1998)  9.3分  评价数:1323062  短评:每个人都要走一条自己坚定了的路，就算是粉身碎骨。 
13 《楚门的世界》 (1998)  9.3分  评价数:1209226  短评:如果再也不能见到你，祝你早安，午安，晚安。
14 《三傻大闹宝莱坞》 (2009)  9.2分  评价数:1479864  短评:英俊版憨豆，高情商版谢耳朵。
15 《机器人总动员》 (2008)  9.3分  评价数:1043314  短评:小瓦力，大人生。
16 《放牛班的春天》 (2004)  9.3分  评价数:1026915  短评:天籁一般的童声，是最接近上帝的存在。 
17 《大话西游之大圣娶亲》 (1995)  9.2分  评价数:1186289  短评:一生所爱。
18 《熔炉》 (2011)  9.3分  评价数:726103  短评:我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
19 《疯狂动物城》 (2016)  9.2分  评价数:1430796  短评:迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
20 《无间道》 (2002)  9.2分  评价数:974825  短评:香港电影史上永不过时的杰作。
21 《教父》 (1972)  9.3分  评价数:725348  短评:千万不要记恨你的对手，这样会让你失去理智。
22 《龙猫》 (1988)  9.2分  评价数:990080  短评:人人心中都有个龙猫，童年就永远不会消失。
23 《当幸福来敲门》 (2006)  9.1分  评价数:1191213  短评:平民励志片。 
24 《怦然心动》 (2010)  9.1分  评价数:1392213  短评:真正的幸福是来自内心深处。
25 《触不可及》 (2011)  9.2分  评价数:771560  短评:满满温情的高雅喜剧。
26 《控方证人》 (1957)  9.6分  评价数:330701  短评:比利·怀德满分作品。
27 《蝙蝠侠：黑暗骑士》 (2008)  9.2分  评价数:807736  短评:无尽的黑暗。
28 《活着》 (1994)  9.3分  评价数:627770  短评:张艺谋最好的电影。
29 《末代皇帝》 (1987)  9.3分  评价数:600236  短评:“不要跟我比惨，我比你更惨”再适合这部电影不过了。
30 《寻梦环游记》 (2017)  9.1分  评价数:1204663  短评:死亡不是真的逝去，遗忘才是永恒的消亡。
31 《乱世佳人》 (1939)  9.3分  评价数:533011  短评:Tomorrow is another day.
32 《何以为家》 (2018)  9.1分  评价数:761743  短评:凝视卑弱生命，用电影改变命运。
33 《指环王3：王者无敌》 (2003)  9.2分  评价数:587769  短评:史诗的终章。
34 《摔跤吧！爸爸》 (2016)  9.0分  评价数:1221762  短评:你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。
35 《飞屋环游记》 (2009)  9.0分  评价数:1035336  短评:最后那些最无聊的事情，才是最值得怀念的。 
36 《少年派的奇幻漂流》 (2012)  9.1分  评价数:1096123  短评:瑰丽壮观、无人能及的冒险之旅。
